"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2016","2016",116151.5,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2017","2017",116981.5,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2018","2018",113128.67,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2019","2019",115753,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2020","2020",116726.99,"E","Estimated value"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2010","2010",58230.17,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2011","2011",60038.92,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2012","2012",62213.09,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2013","2013",64370.06,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2014","2014",64623.92,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2015","2015",65296.67,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2016","2016",65703.27,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2017","2017",67339.2,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2018","2018",68842.05,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2019","2019",69537,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2020","2020",72509.35,"E; D","Estimated value; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2010","2010",64249,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2011","2011",65691,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2012","2012",66183,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2013","2013",67168,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2014","2014",68499,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2015","2015",69222,"B; D","Break; Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2016","2016",70570,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2017","2017",71338,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2018","2018",72770,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2019","2019",75460,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2020","2020",77268,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CAN","Canada","2021","2021",79119,"D; P","Difference in methodology; Provisional value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2010","2010",589102,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2011","2011",674065,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2012","2012",673999,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2013","2013",667386,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2014","2014",704193,"B","Break"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2015","2015",757589,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2016","2016",793221,"B","Break"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2017","2017",849464,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2018","2018",922144,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2019","2019",979080,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2020","2020",1087963,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2010","2010",310686,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2011","2011",316406,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2012","2012",323384,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2013","2013",319741,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2014","2014",326825,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2015","2015",344487,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2016","2016",367699,"B","Break"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2017","2017",413754,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2018","2018",464332,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2019","2019",528335,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","CZE","Czech Republic","2020","2020",623274,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2010","2010",1025091,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2011","2011",1021745,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2012","2012",1040943,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2013","2013",1048155,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2014","2014",1055545,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2015","2015",1069890,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2016","2016",1086106,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2017","2017",1106520,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2018","2018",1115995,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2019","2019",1134216,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2020","2020",1166152,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2010","2010",423688,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2011","2011",427288,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2012","2012",435919,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2013","2013",438594,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2014","2014",439978,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2015","2015",445938,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2016","2016",453021,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2017","2017",461868,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2018","2018",467360,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2019","2019",477411,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DNK","Denmark","2020","2020",496371,"D","Difference in methodology"
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2010","2010",65326,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2011","2011",68342,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2012","2012",71369,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2013","2013",72911,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2014","2014",72332,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2015","2015",73119,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2016","2016",74400,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2017","2017",73450,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2018","2018",75443,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2019","2019",76496,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2020","2020",78809,"P","Provisional value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2010","2010",95934,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2011","2011",100131,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2012","2012",102955,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2013","2013",104914,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2014","2014",105051,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2015","2015",107109,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2016","2016",108364,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2017","2017",106833,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2018","2018",109781,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2019","2019",112548,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2020","2020",116232,"P","Provisional value"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2010","2010",36005,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2011","2011",36831,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2012","2012",37699,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2013","2013",38266,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2014","2014",38482,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2015","2015",38192,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2016","2016",38220,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2017","2017",37816,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2018","2018",38357,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2019","2019",39560,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FIN","Finland","2020","2020",40292,"P","Provisional value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2010","2010",74923.78,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2011","2011",75030.73,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2012","2012",78194.43,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2013","2013",79366.22,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2014","2014",80056.24,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2015","2015",80221.68,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2016","2016",81224.68,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2017","2017",82270.64,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2018","2018",83911.35,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","FRA","France","2019","2019",83926.94,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2010","2010",32734.29,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2011","2011",33611.92,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2012","2012",33916.28,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2013","2013",34003.4,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2014","2014",34196.42,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2015","2015",34328.09,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2016","2016",34540.77,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2017","2017",34911.35,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2018","2018",35321.62,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","FRA","France","2019","2019",35531.27,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2010","2010",123500,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2011","2011",125500,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2012","2012",127400,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2013","2013",129800,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2014","2014",131400,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2015","2015",133100,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2016","2016",136500,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2017","2017",138100,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2018","2018",139400,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2019","2019",143500,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2020","2020",146200,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2010","2010",38797,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2014","2014",41853,"B","Break"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","DEU","Germany","2018","2018",46829,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2010","2010",53493.99,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2011","2011",52408.24,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2012","2012",48968.94,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2013","2013",43153.92,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2014","2014",43153.92,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2015","2015",41859.61,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2019","2019",39007.92,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2020","2020",39055.92,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2010","2010",26522.95,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2011","2011",25408,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2012","2012",26432,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2013","2013",22932,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2014","2014",22932,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2015","2015",20654.39,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2019","2019",20285,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","GRC","Greece","2020","2020",22360,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2010","2010",3817704,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2011","2011",3826104,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2012","2012",3850932,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2013","2013",4487616,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2014","2014",5070576,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2015","2015",5660316,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2016","2016",6292668,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2017","2017",6849972,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2018","2018",7445113,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2019","2019",7701133,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2020","2020",8595770,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2010","2010",4409736,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2011","2011",4413828,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2012","2012",5334660,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2013","2013",5948796,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2014","2014",6206832,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2015","2015",6406332,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2016","2016",7289988,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2017","2017",8689152,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2018","2018",10138142,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2019","2019",10571015,,
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2020","2020",11604875,,
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2010","2010",2161284,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2011","2011",2164032,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2012","2012",2413356,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2013","2013",2614428,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2014","2014",2624592,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2015","2015",2683032,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2016","2016",2997300,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2017","2017",3510996,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2018","2018",4097435,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2019","2019",4356472,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","HUN","Hungary","2020","2020",5615645,"D","Difference in methodology"
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","ISL","Iceland","2010","2010",12286677.13,"B","Break"
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","ISL","Iceland","2011","2011",12791433.1,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","ISL","Iceland","2012","2012",13713891.55,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","ISL","Iceland","2013","2013",13903087.96,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","ISL","Iceland","2014","2014",15137231.28,,
"RVNURMEG","Remuneration of general practitioners","YSALARMT","Salaried, annual income, NCU","ISL","Iceland","2015","2015",18123542.94,,
